longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NBR,ETH_CanopyHeight,Elevation,Slope,Aspect,Class
111.69890296292422,-8.048770198418294,983.0,956.0,1054.0,2898.0,3280.0,2016.0,0.4665992,2.491218589570386,0.6998102466793169,0.17948718,18,196,14,97,Secondary_Forest
111.69899279445264,-8.049578682174003,971.0,1108.0,1326.0,2765.0,3646.0,2514.0,0.35174775,1.0459369094345108,0.5275571306366857,0.047546882,20,199,15,48,Secondary_Forest
111.69935212056627,-8.051554975799066,792.0,966.0,1224.0,2784.0,3357.0,2345.0,0.38922155,0.9310097875387922,0.583759511039042,0.08559173,17,241,28,76,Secondary_Forest
111.6995317836231,-8.051644807327477,901.0,896.0,1102.0,2596.0,3357.0,2345.0,0.40400216,1.523557005914746,0.6059213194538327,0.050799433,18,230,30,83,Secondary_Forest
111.69917245750945,-8.051195649685416,814.0,968.0,1144.0,2856.0,3086.0,2060.0,0.428,1.1836283185840708,0.6419197600299963,0.16192026,17,240,28,42,Secondary_Forest
111.69926228903786,-8.0518244703843,949.0,956.0,1152.0,2514.0,3306.0,2295.0,0.3715221,1.4743450963411995,0.5572071457793536,0.045539614,18,247,20,103,Secondary_Forest
111.69926228903786,-8.052363459554773,1106.0,1152.0,1142.0,2767.0,3499.0,2412.0,0.41570735,3.0660377358490565,0.6234812635886943,0.06854605,20,234,23,131,Secondary_Forest
111.69935212056627,-8.04760238854894,1012.0,1146.0,1076.0,3280.0,2830.0,1784.0,0.50596875,2.566371681415929,0.7588660622058991,0.29541865,21,196,22,122,Secondary_Forest
111.69962161515151,-8.047063399378468,1216.0,1154.0,1206.0,3232.0,3341.0,2188.0,0.45651194,3.7546330615270573,0.6846907739101048,0.19261992,19,197,19,104,Secondary_Forest
111.69944195209469,-8.046973567850056,860.0,1150.0,1028.0,3208.0,3274.0,2075.0,0.51463646,1.8619747181414417,0.771863566623392,0.21446148,19,205,20,97,Secondary_Forest
111.69998094126517,-8.046883736321643,1350.0,1404.0,1328.0,2849.0,3156.0,2153.0,0.36413693,5.487012987012987,0.5461400359066427,0.13914435,20,185,18,76,Secondary_Forest
111.69962161515151,-8.046434578679584,830.0,963.0,870.0,2234.0,2825.0,1917.0,0.43943298,2.772357723577236,0.6590433242067966,0.07636714,17,198,21,92,Secondary_Forest
111.69935212056627,-8.046344747151172,980.0,1092.0,1032.0,2297.0,2941.0,2074.0,0.379994,2.7741228070175437,0.5699053911998799,0.051018074,17,206,13,80,Secondary_Forest
111.69926228903786,-8.046614241736407,899.0,1078.0,988.0,2387.0,3003.0,2103.0,0.4145185,2.222751827136956,0.621685676196119,0.06325167,18,211,15,71,Secondary_Forest
111.69908262598103,-8.04670407326482,984.0,1050.0,1212.0,2767.0,3035.0,2196.0,0.3908017,1.461466165413534,0.5861289106671692,0.11505138,17,216,12,68,Secondary_Forest
111.69827414222533,-8.04670407326482,759.0,900.0,1086.0,2764.0,2926.0,1971.0,0.43584415,1.1690121220565695,0.6536813400857031,0.16747624,14,251,38,70,Secondary_Forest
111.6980046476401,-8.046973567850056,830.0,862.0,971.0,2962.0,2893.0,1839.0,0.50622934,1.941302652106084,0.7592474895131562,0.2339096,19,273,29,108,Secondary_Forest
111.6980046476401,-8.04724306243529,884.0,956.0,1134.0,2955.0,2842.0,1986.0,0.44534117,1.4544728434504792,0.6679300648000978,0.19611415,19,262,35,127,Secondary_Forest
111.69836397375374,-8.04715323090688,816.0,956.0,673.0,2942.0,2555.0,1652.0,0.62766254,6.588269454123113,0.9413635735029733,0.28080106,19,241,34,112,Secondary_Forest
111.70069959349246,-8.051015986628594,780.0,832.0,732.0,3312.0,2727.0,1622.0,0.6379822,3.477088948787062,0.9568549882556558,0.34252128,19,175,19,92,Secondary_Forest
111.70078942502087,-8.051554975799066,888.0,969.0,1146.0,2554.0,3193.0,2115.0,0.38054055,1.270299530855287,0.5707336846372112,0.09402442,18,173,13,49,Secondary_Forest
111.70114875113451,-8.050836323571769,708.0,860.0,662.0,2938.0,2489.0,1493.0,0.63222224,3.5540287320424735,0.948201638661297,0.3261115,18,161,12,105,Secondary_Forest
